ID,EWONDO,FRENCH,CATEGORY
1,yób,Ciel,Nature
2,sí,Terre,Nature
3,oswé,Riviere,Nature
4,ǹkúd,Nuage,Nature
5,ǹló dzóbo,Soleil,Nature
6,ngɔn,Lune,Nature
7,otitie,Etoile,Nature
8,elɔbí,Marécage,Nature
9,ǹkol,Montagne,Nature
10,elɔ́g,Herbe,Nature
11,afan,Foret,Nature
12,elé,Arbre,Nature
13,tín,Tige,Nature
14,kyé́,Feuille,Nature
15,ǹkaŋ,Racine,Nature
16,ebǎb,Ecorce,Nature
17,odzoe,Bananier,Nature
18,andɔ́g,Manguier,Nature
19,elé fía,Avocatier,Nature
20,odzoe,Banane,Nature
21,ndɔ́g,Mangue,Nature
22,fía,Avocat,Nature
23,zəg,Ananas,Nature
24,pazətɛ́g,Pasteque,Nature
25,ofumbí,Orange,Nature
26,ósanga,Citron,Nature
27,sá,Prune,Nature
28,fón,Maïs,Nature
29,m̀bong,Manioc,Nature
30,shú,Choux,Nature
31,abɔg,Melon,Nature
32,abuda,Patate,Nature
33,akaba,Macabo,Nature
34,andum,Citronnelle,Nature
35,kwé,Singe,Animaux
36,ngii,gorille,Animaux
37,edu,Rat,Animaux
38,kɛ́,Pangolin,Animaux
39,bə̌ba,grenouille,Animaux
40,só,biche,Animaux
41,só,gazelle,Animaux
42,kúb,Coq,Animaux
43,ngoe,Porc,Animaux
44,kábad,chevre,Animaux
45,emgbə́m,Lion,Animaux
46,zə̌,Panthere,Animaux
47,nyɔ́,Serpent,Animaux
48,táiga,Tigre,Animaux
49,onɔ̌n,Oiseau,Animaux
50,mvú,Chien,Animaux
51,esínga,Chat,Animaux
52,ǹkoŋ,Chenille,Animaux
53,kɔ̌s,Poison,Animaux
54,ongɔ̌s,Crevette,Animaux
55,mvəŋ,Pluie,Phénomènes Naturels
56,vyǎn,Lumiere (du soleil),Phénomènes Naturels
57,evúndi,Vent,Phénomènes Naturels
58,ńkulu,Tornade,Phénomènes Naturels
59,avə́b,Froid,Phénomènes Naturels
60,ndóan,Feu,Phénomènes Naturels
61,zə̌yaŋ,Foudre,Phénomènes Naturels
62,ndúgúdu,Chaleur,Phénomènes Naturels
63,ǹkúd,Brume,Phénomènes Naturels
64,fám,Homme,Famille
65,miningá,Femme,Famille
66,mɔ́ngɔ́,Enfant,Famille
67,ndóm,Frere,Famille
68,mǎnyǎŋ,Frere,Famille
69,kál,Soeur,Famille
70,mǎnyǎŋ,Soeur,Famille
71,naná,Maman,Famille
72,tadá,Papa,Famille
73,emvám fám,Grand-mere,Famille
74,emvám miningá,Grand-pere,Famille
75,tadá,Ancetre,Famille
76,mvóé,Ami,Famille
77,ndâ bod,Famille,Famille
78,mɔ̂n fám,Fils,Famille
79,ngɔn,Fille,Famille
80,mvog,Clan,Famille
81,ayɔŋ,Tribu,Famille
82,ǹkyǎ miningá,Belle mere,Famille
83,m̀bɔ́m,Belle fille,Famille
84,ǹnóm ngɔn,Beau fils,Famille
85,ǹnyala,Beau frere,Famille
86,ǹkyǎ fám,Beau pere,Famille
87,bəkyǎ,Belle famille,Famille
88,ésyá,Oncle,Famille
89,ndóm dzaŋ,Oncle,Famille
90,ésángá,Tante,Famille
91,nyǎ,Tante,Famille
92,man kál,Neveu,Famille
93,ngɔn,Niece,Famille
94,avúman,Parenté,Famille
95,abum,Grossesse,Natalité et Mortalité
96,mɔ́n,Bebe,Natalité et Mortalité
97,abyálí,Accouchement,Natalité et Mortalité
98,enyě mɔ́n,allaitement,Natalité et Mortalité
99,ǹkogolo,Travail(contraction ...),Natalité et Mortalité
100,esǒg,Placenta,Natalité et Mortalité
101,ngɔb,Cordon onbinical,Natalité et Mortalité
102,ǹdzíndzie,Accouchee(celle qui vient d'accoucher),Natalité et Mortalité
103,foa,Fertile,Natalité et Mortalité
104,ǹkokóm,Sterile,Natalité et Mortalité
